entry_validity,rr,sweep_lookback,swing_lookback,sharpe,cagr,pf,winrate,total_return,max_dd,n_trades,asset,tf
3,2.0,5,5,-1.6251725942397695,-0.2369647951976328,0.7801315650882219,0.3127853881278539,-0.41666251058850745,-0.4837487704595474,876,Gold,1h / 1h  (≈2 yr)
3,2.0,5,10,-1.7632193262935676,-0.23458362010962375,0.7328251972842575,0.29154078549848944,-0.41302896673550216,-0.4878775628758458,662,Gold,1h / 1h  (≈2 yr)
3,2.0,5,15,-1.757415275563994,-0.22311647966523096,0.7094241337813428,0.28153564899451555,-0.3951120611162673,-0.4464685323528721,547,Gold,1h / 1h  (≈2 yr)
3,2.0,5,20,-1.2938395089614365,-0.16572275161611216,0.7585297490197757,0.29004329004329005,-0.30308894378774376,-0.39512609884372546,462,Gold,1h / 1h  (≈2 yr)
3,2.0,10,5,-1.6251725942397695,-0.2369647951976328,0.7801315650882219,0.3127853881278539,-0.41666251058850745,-0.4837487704595474,876,Gold,1h / 1h  (≈2 yr)
3,2.0,10,10,-1.7632193262935676,-0.23458362010962375,0.7328251972842575,0.29154078549848944,-0.41302896673550216,-0.4878775628758458,662,Gold,1h / 1h  (≈2 yr)
3,2.0,10,15,-1.757415275563994,-0.22311647966523096,0.7094241337813428,0.28153564899451555,-0.3951120611162673,-0.4464685323528721,547,Gold,1h / 1h  (≈2 yr)
3,2.0,10,20,-1.2938395089614365,-0.16572275161611216,0.7585297490197757,0.29004329004329005,-0.30308894378774376,-0.39512609884372546,462,Gold,1h / 1h  (≈2 yr)
3,2.0,15,5,-1.6251725942397695,-0.2369647951976328,0.7801315650882219,0.3127853881278539,-0.41666251058850745,-0.4837487704595474,876,Gold,1h / 1h  (≈2 yr)
3,2.0,15,10,-1.7632193262935676,-0.23458362010962375,0.7328251972842575,0.29154078549848944,-0.41302896673550216,-0.4878775628758458,662,Gold,1h / 1h  (≈2 yr)
3,2.0,15,15,-1.757415275563994,-0.22311647966523096,0.7094241337813428,0.28153564899451555,-0.3951120611162673,-0.4464685323528721,547,Gold,1h / 1h  (≈2 yr)
3,2.0,15,20,-1.2938395089614365,-0.16572275161611216,0.7585297490197757,0.29004329004329005,-0.30308894378774376,-0.39512609884372546,462,Gold,1h / 1h  (≈2 yr)
3,3.0,5,5,-1.1503203086057292,-0.21235036369165106,0.8033079837146617,0.25065963060686014,-0.37855976648225853,-0.40614868022383804,758,Gold,1h / 1h  (≈2 yr)
3,3.0,5,10,-1.0993677896321559,-0.1945129729611369,0.778865855225667,0.22782608695652173,-0.35019727587163085,-0.41243657545413603,575,Gold,1h / 1h  (≈2 yr)
3,3.0,5,15,-0.8071614904403431,-0.14828244680990765,0.8145821221470015,0.23236514522821577,-0.27355376926074026,-0.3354389582993324,482,Gold,1h / 1h  (≈2 yr)
3,3.0,5,20,-0.4317121098390154,-0.08632200131816248,0.8839571952485136,0.24754901960784315,-0.16465931162623493,-0.28029609588053955,408,Gold,1h / 1h  (≈2 yr)
3,3.0,10,5,-1.1503203086057292,-0.21235036369165106,0.8033079837146617,0.25065963060686014,-0.37855976648225853,-0.40614868022383804,758,Gold,1h / 1h  (≈2 yr)
3,3.0,10,10,-1.0993677896321559,-0.1945129729611369,0.778865855225667,0.22782608695652173,-0.35019727587163085,-0.41243657545413603,575,Gold,1h / 1h  (≈2 yr)
3,3.0,10,15,-0.8071614904403431,-0.14828244680990765,0.8145821221470015,0.23236514522821577,-0.27355376926074026,-0.3354389582993324,482,Gold,1h / 1h  (≈2 yr)
3,3.0,10,20,-0.4317121098390154,-0.08632200131816248,0.8839571952485136,0.24754901960784315,-0.16465931162623493,-0.28029609588053955,408,Gold,1h / 1h  (≈2 yr)
3,3.0,15,5,-1.1503203086057292,-0.21235036369165106,0.8033079837146617,0.25065963060686014,-0.37855976648225853,-0.40614868022383804,758,Gold,1h / 1h  (≈2 yr)
3,3.0,15,10,-1.0993677896321559,-0.1945129729611369,0.778865855225667,0.22782608695652173,-0.35019727587163085,-0.41243657545413603,575,Gold,1h / 1h  (≈2 yr)
3,3.0,15,15,-0.8071614904403431,-0.14828244680990765,0.8145821221470015,0.23236514522821577,-0.27355376926074026,-0.3354389582993324,482,Gold,1h / 1h  (≈2 yr)
3,3.0,15,20,-0.4317121098390154,-0.08632200131816248,0.8839571952485136,0.24754901960784315,-0.16465931162623493,-0.28029609588053955,408,Gold,1h / 1h  (≈2 yr)
3,4.0,5,5,-1.0277214698518866,-0.1632304467092499,0.8345903852746137,0.20853080568720378,-0.2989336360037701,-0.29893363600377004,633,Gold,1h / 1h  (≈2 yr)
3,4.0,5,10,-0.6522468188376738,-0.1090114968149184,0.8732446455667163,0.1951219512195122,-0.20549114108759292,-0.25681061279182793,492,Gold,1h / 1h  (≈2 yr)
3,4.0,5,15,-0.5345355256939206,-0.09346228131063383,0.879027024681731,0.1927710843373494,-0.1774807380495389,-0.2294112545023402,415,Gold,1h / 1h  (≈2 yr)
3,4.0,5,20,-0.33043644176499637,-0.06000884223816205,0.9184910375765122,0.20170454545454544,-0.1160297962465251,-0.22051833958426997,352,Gold,1h / 1h  (≈2 yr)
3,4.0,10,5,-1.0277214698518866,-0.1632304467092499,0.8345903852746137,0.20853080568720378,-0.2989336360037701,-0.29893363600377004,633,Gold,1h / 1h  (≈2 yr)
3,4.0,10,10,-0.6522468188376738,-0.1090114968149184,0.8732446455667163,0.1951219512195122,-0.20549114108759292,-0.25681061279182793,492,Gold,1h / 1h  (≈2 yr)
3,4.0,10,15,-0.5345355256939206,-0.09346228131063383,0.879027024681731,0.1927710843373494,-0.1774807380495389,-0.2294112545023402,415,Gold,1h / 1h  (≈2 yr)
3,4.0,10,20,-0.33043644176499637,-0.06000884223816205,0.9184910375765122,0.20170454545454544,-0.1160297962465251,-0.22051833958426997,352,Gold,1h / 1h  (≈2 yr)
3,4.0,15,5,-1.0277214698518866,-0.1632304467092499,0.8345903852746137,0.20853080568720378,-0.2989336360037701,-0.29893363600377004,633,Gold,1h / 1h  (≈2 yr)
3,4.0,15,10,-0.6522468188376738,-0.1090114968149184,0.8732446455667163,0.1951219512195122,-0.20549114108759292,-0.25681061279182793,492,Gold,1h / 1h  (≈2 yr)
3,4.0,15,15,-0.5345355256939206,-0.09346228131063383,0.879027024681731,0.1927710843373494,-0.1774807380495389,-0.2294112545023402,415,Gold,1h / 1h  (≈2 yr)
3,4.0,15,20,-0.33043644176499637,-0.06000884223816205,0.9184910375765122,0.20170454545454544,-0.1160297962465251,-0.22051833958426997,352,Gold,1h / 1h  (≈2 yr)
5,2.0,5,5,-1.3862681341878251,-0.2022767469193365,0.8102252626498992,0.3047158403869408,-0.3626196346696434,-0.47268034918871815,827,Gold,1h / 1h  (≈2 yr)
5,2.0,5,10,-1.3482452928087372,-0.1890608709540207,0.783019382876215,0.2958860759493671,-0.3414022863056402,-0.4417808376500219,632,Gold,1h / 1h  (≈2 yr)
5,2.0,5,15,-0.9925530686852003,-0.1380558798363276,0.821740750809544,0.29750479846449135,-0.2560821657845147,-0.33342621170124576,521,Gold,1h / 1h  (≈2 yr)
5,2.0,5,20,-0.696036758206561,-0.09871259461372583,0.8601352275317443,0.3056179775280899,-0.18708367243563417,-0.29424172061175574,445,Gold,1h / 1h  (≈2 yr)
5,2.0,10,5,-1.3862681341878251,-0.2022767469193365,0.8102252626498992,0.3047158403869408,-0.3626196346696434,-0.47268034918871815,827,Gold,1h / 1h  (≈2 yr)
5,2.0,10,10,-1.3482452928087372,-0.1890608709540207,0.783019382876215,0.2958860759493671,-0.3414022863056402,-0.4417808376500219,632,Gold,1h / 1h  (≈2 yr)
5,2.0,10,15,-0.9925530686852003,-0.1380558798363276,0.821740750809544,0.29750479846449135,-0.2560821657845147,-0.33342621170124576,521,Gold,1h / 1h  (≈2 yr)
5,2.0,10,20,-0.696036758206561,-0.09871259461372583,0.8601352275317443,0.3056179775280899,-0.18708367243563417,-0.29424172061175574,445,Gold,1h / 1h  (≈2 yr)
5,2.0,15,5,-1.3862681341878251,-0.2022767469193365,0.8102252626498992,0.3047158403869408,-0.3626196346696434,-0.47268034918871815,827,Gold,1h / 1h  (≈2 yr)
5,2.0,15,10,-1.3482452928087372,-0.1890608709540207,0.783019382876215,0.2958860759493671,-0.3414022863056402,-0.4417808376500219,632,Gold,1h / 1h  (≈2 yr)
5,2.0,15,15,-0.9925530686852003,-0.1380558798363276,0.821740750809544,0.29750479846449135,-0.2560821657845147,-0.33342621170124576,521,Gold,1h / 1h  (≈2 yr)
5,2.0,15,20,-0.696036758206561,-0.09871259461372583,0.8601352275317443,0.3056179775280899,-0.18708367243563417,-0.29424172061175574,445,Gold,1h / 1h  (≈2 yr)
5,3.0,5,5,-0.6485354190470035,-0.13434459558670497,0.8808354207849147,0.24759284731774414,-0.24987570040894447,-0.3489326048575412,727,Gold,1h / 1h  (≈2 yr)
5,3.0,5,10,-0.8169952965861876,-0.15433262491712219,0.824110250508629,0.2292418772563177,-0.2839982989492079,-0.37088858015798265,554,Gold,1h / 1h  (≈2 yr)
5,3.0,5,15,-0.2705083705776165,-0.06294156783405225,0.929663633072101,0.2505399568034557,-0.12141993301674359,-0.22348550627237865,463,Gold,1h / 1h  (≈2 yr)
5,3.0,5,20,-0.18609975630576758,-0.047064328279766254,0.9452008775787845,0.2562814070351759,-0.0916039282055483,-0.22477814236950486,398,Gold,1h / 1h  (≈2 yr)
5,3.0,10,5,-0.6485354190470035,-0.13434459558670497,0.8808354207849147,0.24759284731774414,-0.24987570040894447,-0.3489326048575412,727,Gold,1h / 1h  (≈2 yr)
5,3.0,10,10,-0.8169952965861876,-0.15433262491712219,0.824110250508629,0.2292418772563177,-0.2839982989492079,-0.37088858015798265,554,Gold,1h / 1h  (≈2 yr)
5,3.0,10,15,-0.2705083705776165,-0.06294156783405225,0.929663633072101,0.2505399568034557,-0.12141993301674359,-0.22348550627237865,463,Gold,1h / 1h  (≈2 yr)
5,3.0,10,20,-0.18609975630576758,-0.047064328279766254,0.9452008775787845,0.2562814070351759,-0.0916039282055483,-0.22477814236950486,398,Gold,1h / 1h  (≈2 yr)
5,3.0,15,5,-0.6485354190470035,-0.13434459558670497,0.8808354207849147,0.24759284731774414,-0.24987570040894447,-0.3489326048575412,727,Gold,1h / 1h  (≈2 yr)
5,3.0,15,10,-0.8169952965861876,-0.15433262491712219,0.824110250508629,0.2292418772563177,-0.2839982989492079,-0.37088858015798265,554,Gold,1h / 1h  (≈2 yr)
5,3.0,15,15,-0.2705083705776165,-0.06294156783405225,0.929663633072101,0.2505399568034557,-0.12141993301674359,-0.22348550627237865,463,Gold,1h / 1h  (≈2 yr)
5,3.0,15,20,-0.18609975630576758,-0.047064328279766254,0.9452008775787845,0.2562814070351759,-0.0916039282055483,-0.22477814236950486,398,Gold,1h / 1h  (≈2 yr)
5,4.0,5,5,-0.5709859300048044,-0.10613229044636352,0.8995068164766419,0.21009771986970685,-0.20036622149540506,-0.279615500785304,614,Gold,1h / 1h  (≈2 yr)
5,4.0,5,10,-0.8971450577794702,-0.14176484331573758,0.8282443043947277,0.18480492813141683,-0.2626355591937183,-0.3364509990365385,487,Gold,1h / 1h  (≈2 yr)
5,4.0,5,15,-0.5049354847003727,-0.08786614463277598,0.8877387105662574,0.1926829268292683,-0.16733944014834146,-0.2550661427830833,410,Gold,1h / 1h  (≈2 yr)
5,4.0,5,20,-0.5543455913828536,-0.09004420564027571,0.8689480384260211,0.1908831908831909,-0.1714276622074421,-0.2788021465500328,351,Gold,1h / 1h  (≈2 yr)
5,4.0,10,5,-0.5709859300048044,-0.10613229044636352,0.8995068164766419,0.21009771986970685,-0.20036622149540506,-0.279615500785304,614,Gold,1h / 1h  (≈2 yr)
5,4.0,10,10,-0.8971450577794702,-0.14176484331573758,0.8282443043947277,0.18480492813141683,-0.2626355591937183,-0.3364509990365385,487,Gold,1h / 1h  (≈2 yr)
5,4.0,10,15,-0.5049354847003727,-0.08786614463277598,0.8877387105662574,0.1926829268292683,-0.16733944014834146,-0.2550661427830833,410,Gold,1h / 1h  (≈2 yr)
5,4.0,10,20,-0.5543455913828536,-0.09004420564027571,0.8689480384260211,0.1908831908831909,-0.1714276622074421,-0.2788021465500328,351,Gold,1h / 1h  (≈2 yr)
5,4.0,15,5,-0.5709859300048044,-0.10613229044636352,0.8995068164766419,0.21009771986970685,-0.20036622149540506,-0.279615500785304,614,Gold,1h / 1h  (≈2 yr)
5,4.0,15,10,-0.8971450577794702,-0.14176484331573758,0.8282443043947277,0.18480492813141683,-0.2626355591937183,-0.3364509990365385,487,Gold,1h / 1h  (≈2 yr)
5,4.0,15,15,-0.5049354847003727,-0.08786614463277598,0.8877387105662574,0.1926829268292683,-0.16733944014834146,-0.2550661427830833,410,Gold,1h / 1h  (≈2 yr)
5,4.0,15,20,-0.5543455913828536,-0.09004420564027571,0.8689480384260211,0.1908831908831909,-0.1714276622074421,-0.2788021465500328,351,Gold,1h / 1h  (≈2 yr)
10,2.0,5,5,-1.2198528267686959,-0.18436715238450185,0.8204937442487109,0.31723237597911225,-0.33378348582819906,-0.44911144751644755,766,Gold,1h / 1h  (≈2 yr)
10,2.0,5,10,-0.9025202443287915,-0.13520444799085807,0.8452359760386339,0.31239669421487604,-0.2513598897855872,-0.3935394583862157,605,Gold,1h / 1h  (≈2 yr)
10,2.0,5,15,-0.7745129111938863,-0.11284270979981237,0.8539471921398507,0.3097165991902834,-0.21212374723068728,-0.2867554084582174,494,Gold,1h / 1h  (≈2 yr)
10,2.0,5,20,-0.44964172586196693,-0.06913871031455987,0.9048208813654802,0.32,-0.13305806565533462,-0.2330998721892795,425,Gold,1h / 1h  (≈2 yr)
10,2.0,10,5,-1.2198528267686959,-0.18436715238450185,0.8204937442487109,0.31723237597911225,-0.33378348582819906,-0.44911144751644755,766,Gold,1h / 1h  (≈2 yr)
10,2.0,10,10,-0.9025202443287915,-0.13520444799085807,0.8452359760386339,0.31239669421487604,-0.2513598897855872,-0.3935394583862157,605,Gold,1h / 1h  (≈2 yr)
10,2.0,10,15,-0.7745129111938863,-0.11284270979981237,0.8539471921398507,0.3097165991902834,-0.21212374723068728,-0.2867554084582174,494,Gold,1h / 1h  (≈2 yr)
10,2.0,10,20,-0.44964172586196693,-0.06913871031455987,0.9048208813654802,0.32,-0.13305806565533462,-0.2330998721892795,425,Gold,1h / 1h  (≈2 yr)
10,2.0,15,5,-1.2198528267686959,-0.18436715238450185,0.8204937442487109,0.31723237597911225,-0.33378348582819906,-0.44911144751644755,766,Gold,1h / 1h  (≈2 yr)
10,2.0,15,10,-0.9025202443287915,-0.13520444799085807,0.8452359760386339,0.31239669421487604,-0.2513598897855872,-0.3935394583862157,605,Gold,1h / 1h  (≈2 yr)
10,2.0,15,15,-0.7745129111938863,-0.11284270979981237,0.8539471921398507,0.3097165991902834,-0.21212374723068728,-0.2867554084582174,494,Gold,1h / 1h  (≈2 yr)
10,2.0,15,20,-0.44964172586196693,-0.06913871031455987,0.9048208813654802,0.32,-0.13305806565533462,-0.2330998721892795,425,Gold,1h / 1h  (≈2 yr)
10,3.0,5,5,-0.5062688097105952,-0.11253309317276483,0.8969584415994674,0.25263157894736843,-0.21173717902803957,-0.36146645625377705,665,Gold,1h / 1h  (≈2 yr)
10,3.0,5,10,-0.39086952152830123,-0.08670079465784042,0.9087012343538893,0.24390243902439024,-0.16534935254354355,-0.3188619954111088,533,Gold,1h / 1h  (≈2 yr)
10,3.0,5,15,-0.20680258130751653,-0.05289032433596763,0.9439317804246882,0.248868778280543,-0.10255499377597443,-0.18470075913255934,442,Gold,1h / 1h  (≈2 yr)
10,3.0,5,20,-0.06337565385778715,-0.026499638554394855,0.9771028974457235,0.2617801047120419,-0.0521170089427625,-0.1653029335008341,382,Gold,1h / 1h  (≈2 yr)
10,3.0,10,5,-0.5062688097105952,-0.11253309317276483,0.8969584415994674,0.25263157894736843,-0.21173717902803957,-0.36146645625377705,665,Gold,1h / 1h  (≈2 yr)
10,3.0,10,10,-0.39086952152830123,-0.08670079465784042,0.9087012343538893,0.24390243902439024,-0.16534935254354355,-0.3188619954111088,533,Gold,1h / 1h  (≈2 yr)
10,3.0,10,15,-0.20680258130751653,-0.05289032433596763,0.9439317804246882,0.248868778280543,-0.10255499377597443,-0.18470075913255934,442,Gold,1h / 1h  (≈2 yr)
10,3.0,10,20,-0.06337565385778715,-0.026499638554394855,0.9771028974457235,0.2617801047120419,-0.0521170089427625,-0.1653029335008341,382,Gold,1h / 1h  (≈2 yr)
10,3.0,15,5,-0.5062688097105952,-0.11253309317276483,0.8969584415994674,0.25263157894736843,-0.21173717902803957,-0.36146645625377705,665,Gold,1h / 1h  (≈2 yr)
10,3.0,15,10,-0.39086952152830123,-0.08670079465784042,0.9087012343538893,0.24390243902439024,-0.16534935254354355,-0.3188619954111088,533,Gold,1h / 1h  (≈2 yr)
10,3.0,15,15,-0.20680258130751653,-0.05289032433596763,0.9439317804246882,0.248868778280543,-0.10255499377597443,-0.18470075913255934,442,Gold,1h / 1h  (≈2 yr)
10,3.0,15,20,-0.06337565385778715,-0.026499638554394855,0.9771028974457235,0.2617801047120419,-0.0521170089427625,-0.1653029335008341,382,Gold,1h / 1h  (≈2 yr)
10,4.0,5,5,-0.5395554350353311,-0.10550855747236199,0.8992848560260394,0.2056239015817223,-0.19925382797478708,-0.3450459859777698,569,Gold,1h / 1h  (≈2 yr)
10,4.0,5,10,-0.3386303837399954,-0.06539293123644085,0.9319615165432542,0.20127118644067796,-0.12609171416144405,-0.29158140790061104,472,Gold,1h / 1h  (≈2 yr)
10,4.0,5,15,-0.4813741432786516,-0.08530601450024777,0.8910596091560865,0.18877551020408162,-0.16267935828531477,-0.22559197129370828,392,Gold,1h / 1h  (≈2 yr)
10,4.0,5,20,-0.42810093245039244,-0.0736087650950954,0.8956504161637775,0.19161676646706588,-0.1413350607288637,-0.2300816658406532,334,Gold,1h / 1h  (≈2 yr)
10,4.0,10,5,-0.5395554350353311,-0.10550855747236199,0.8992848560260394,0.2056239015817223,-0.19925382797478708,-0.3450459859777698,569,Gold,1h / 1h  (≈2 yr)
10,4.0,10,10,-0.3386303837399954,-0.06539293123644085,0.9319615165432542,0.20127118644067796,-0.12609171416144405,-0.29158140790061104,472,Gold,1h / 1h  (≈2 yr)
10,4.0,10,15,-0.4813741432786516,-0.08530601450024777,0.8910596091560865,0.18877551020408162,-0.16267935828531477,-0.22559197129370828,392,Gold,1h / 1h  (≈2 yr)
10,4.0,10,20,-0.42810093245039244,-0.0736087650950954,0.8956504161637775,0.19161676646706588,-0.1413350607288637,-0.2300816658406532,334,Gold,1h / 1h  (≈2 yr)
10,4.0,15,5,-0.5395554350353311,-0.10550855747236199,0.8992848560260394,0.2056239015817223,-0.19925382797478708,-0.3450459859777698,569,Gold,1h / 1h  (≈2 yr)
10,4.0,15,10,-0.3386303837399954,-0.06539293123644085,0.9319615165432542,0.20127118644067796,-0.12609171416144405,-0.29158140790061104,472,Gold,1h / 1h  (≈2 yr)
10,4.0,15,15,-0.4813741432786516,-0.08530601450024777,0.8910596091560865,0.18877551020408162,-0.16267935828531477,-0.22559197129370828,392,Gold,1h / 1h  (≈2 yr)
